CODIGOENTIDAD,RUC_ENTIDAD,ENTIDAD,ENTIDAD_DEPARTAMENTO,ENTIDAD_PROVINCIA,ENTIDAD_DISTRITO,FECHACONVOCATORIA,OBJETOCONTRACTUAL,PROCESO,CODIGOCONVOCATORIA,DESCRIPCION_PROCESO,NUMERO_ITEM,ITEMCONVOCA_DESCRIPCION,ITEMCONVOCA_UNIDADMEDIDA,SECTOR,TIPOENTIDADOEE,TIPOPROCESO,ITEM_DEPARTAMENTO,ITEM_PROVINCIA,ITEM_DISTRITO,ESTADOITEMCONVOCA,ULTIMO,MONEDA,CAUSAL_EXOR_CONT_DIRECTA,MONTOREFERENCIAL,MONTOREFERENCIALSOLES,MONTOADJUDICADO,MONTOADJUDICADOSOLES,TIPOPROVEEDOR,RUCPROVEEDOR,PROVEEDOR,RUCDETALLEPROVEEDOR,DETALLEPROVEEDOR,URLFICHAPROCESO,RUBROS
202585,20555989912,IAFAS DE LA MARINA DE GUERRA DEL PERU,CALLAO,CALLAO,BELLAVISTA,15/04/20,Bien,DIRECTA-PROC-1-2020-IAFAS/LOGISTICA-1,608627,ADQUISICIAN DE VENTILADORES MECANICOS PARA EL HOSPITAL DE CONTINGENCIAS,1,VENTILADOR MECA?NICO ADULTO/PEDIA?TRICO,Unidad,DEFENSA,GOBIERNO NACIONAL,ContrataciA3n Directa,CALLAO,CALLAO,BELLAVISTA,Adjudicado,ULTIMO,Soles,SituaciA3n emergencia,319210.14,319210.14,319210.14,319210.14,Persona Juridica,20501645517,VITALTEC S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608627,MATERIAL Y EQUIPO MEDICO
202585,20555989912,IAFAS DE LA MARINA DE GUERRA DEL PERU,CALLAO,CALLAO,BELLAVISTA,15/04/20,Bien,DIRECTA-PROC-1-2020-IAFAS/LOGISTICA-1,608627,ADQUISICIAN DE VENTILADORES MECANICOS PARA EL HOSPITAL DE CONTINGENCIAS,2,VENTILADOR TRANSPORTABLE ADULTO/PEDIA?TRICO,Unidad,DEFENSA,GOBIERNO NACIONAL,ContrataciA3n Directa,CALLAO,CALLAO,BELLAVISTA,Adjudicado,ULTIMO,Soles,SituaciA3n emergencia,274725.0,274725.0,274725.0,274725.0,Persona Juridica,20519023351,T H I MEDICAL SOCIEDAD ANONIMA CERRADA,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608627,MATERIAL Y EQUIPO MEDICO
1373,20195429554,MUNICIPALIDAD DISTRITAL DE PACARAN,LIMA,CAAETE,PACARAN,16/04/20,Bien,DIRECTA-PROC-1-2020-MDP/OEC-1,608628,"ADQUISICIAN DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BASICA FAMILIAR EN EL MARCO DE LA EMERGENCIA SANITARIA NACIONAL POR EL COVID 19 PARA LA POBLACIAN EN SITUACIONES VULNERABLES DEL DISTRITO DE PACARAN, PROVINCIA DE CAAETE, DEPARTAMENTO DE LIMA",1,"ADQUISICIA?N DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BA?SICA FAMILIAR EN EL MARCO DE LA EMERGENCIA SANITARIA NACIONAL POR EL COVID 19 PARA LA POBLACIA?N EN SITUACIONES VULNERABLES DEL DISTRITO DE PACARA?N, PROVINCIA DE CAA?ETE, DEPARTAMENTO DE LIM",Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,LIMA,CAAETE,PACARAN,Contratado,ULTIMO,Soles,SituaciA3n emergencia,50000.0,50000.0,50000.0,50000.0,Persona Natural,10153774701,RAMOS MANRIQUE PIO EULOGIO,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608628,CANASTA DE VIVERES
1708,20205935470,MUNICIPALIDAD DISTRITAL DE PALCA - LAMPA,PUNO,LAMPA,PALCA,20/04/20,Bien,DIRECTA-PROC-1-2020-MDP-1,608629,ADQUISICION DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BASICA FAMILIAR PARA LA POBLACIAN VULNERABLE DEL DISTRITO DE PALCA - LAMPA,1,ADQUISICIA?N DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BA?SICA FAMILIAR PARA LA POBLACIA?N VULNERABLE DEL DISTRITO DE PALCA - LAMA?,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,PUNO,LAMPA,PALCA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,50000.0,50000.0,50000.0,50000.0,Persona Juridica,20447974453,EMPRESA COMERCIAL EL TREBOLITO E.I.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608629,CANASTA DE VIVERES
1820,20531195575,MUNICIPALIDAD DISTRITAL DE SHAMBOYACU,SAN MARTIN,PICOTA,SHAMBOYACU,15/04/20,Bien,DIRECTA-PROC-3-2020-MDSH/OEC-1,608630,"ContrataciA3n de Fideo, Sal Yodada, Hojuela de avena y menestra para la Canasta BA!sica Familiar para Hogares Vulnerables dentro de la JurisdicciA3n del Distrito de Shamboyacu, Provincia de Picota, San MartAn, en el marco de la emergencia sanitaria por el COVID-19 (DU NAdeg 033-2020).",1,"ADQUISICION DE FIDEO TALLARIN GRUESO, SAL YODADA, HOJUELA DE AVENA, LENTEJA Y ARVEJA VERDE PARTIDA",Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,SAN MARTIN,PICOTA,SHAMBOYACU,Contratado,ULTIMO,Soles,SituaciA3n emergencia,43225.45,43225.45,43225.45,43225.45,Persona Natural,10009921619,QUIAONEZ CARLOS DOMINGA,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608630,CANASTA DE VIVERES
1495,20197990938,MUNICIPALIDAD DISTRITAL DE LAGUNAS - ALTO AMAZONAS,LORETO,ALTO AMAZONAS,LAGUNAS,16/04/20,Bien,DIRECTA-PROC-1-2020-MDL/OEC-1,608632,ADQUISICION DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BASICA FAMILIAR EN EL MARCO DE LA EMERGENCIA NACIONAL POR EL BROTE DEL COVID-19.,1,ADQUISICIA?N DE PRODUCTOS DE PRIMERA NECESIDAD PARA LA CANASTA BA?SICA FAMILIAR EN EL MARCO DE LA EMERGENCIA POR EL BROTE DEL COVID-2019,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,LORETO,ALTO AMAZONAS,LAGUNAS,Contratado,ULTIMO,Soles,SituaciA3n emergencia,140000.0,140000.0,140000.0,140000.0,Persona Natural,10056183511,ESTELA FERNANDEZ GERARDO,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608632,CANASTA DE VIVERES
1552,20209306833,MUNICIPALIDAD DISTRITAL DE YUNGA,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,22/04/20,Bien,DIRECTA-PROC-1-2020-MDY-1,608633,ADQUISICION DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA FAMILIAR EN EL MARCO DEL ESTADO DE EMERGENCIA NACIONAL POR EL COVID-19 EN EL DISTRITO DE YUNGA,1,ADQUISICION DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA FAMILIAR EN EL MARCO DEL ESTADO DE EMERGENCIA NACIONAL POR EL COVID-19 EN EL DISTRITO DE YUNGA,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,50000.0,50000.0,49942.4,49942.4,Persona Juridica,20455009856,REDIJUA S.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608633,CANASTA DE VIVERES
815,20202455817,MUNICIPALIDAD DISTRITAL DE HUAYOPATA,CUSCO,LA CONVENCION,HUAYOPATA,15/04/20,Bien,DIRECTA-PROC-1-2020-MDH-LC-1,608634,AdquisiciA3n de Productos de Primera Necesidad de la Canasta BA!sica Familiar para la poblaciA3n en situaciA3n de vulnerabilidad del distrito de Huayopata - Provincia La ConvenciA3n-Cusco; en el marco de la emergencia sanitaria declarada por el COVID-19; conforme al Decreto de Urgencia NAdeg 033-2020.,1,PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BASICA FAMILIAR,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,CUSCO,LA CONVENCION,HUAYOPATA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,99999.0,99999.0,99999.0,99999.0,Persona Juridica,20527704759,INVERSIONES GUSTAVO SOCIEDAD ANONIMA CERRADA,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608634,CANASTA DE VIVERES
1653,20221107307,MUNICIPALIDAD DISTRITAL DE COATA,PUNO,PUNO,COATA,22/04/20,Bien,DIRECTA-PROC-1-2020-MDC/OEC-1,608637,"AdquisiciA3n de Arroz Superior para la atenciA3n de la primera necesidad de la Canasta BA!sica Familiar en  el marco de la emergencia nacional por el COVID-19, para el distrito de Coata A? Provincia de Puno A? Region Puno.",1,ALIMENTO ARROZ SUPERIOR,Kilogramo,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,PUNO,PUNO,COATA,Adjudicado,ULTIMO,Soles,SituaciA3n emergencia,60000.0,60000.0,60000.0,60000.0,Persona Juridica,20605795278,JF E HIJOS DISTRIBUCIONES SOCIEDAD ANONIMA CERRADA,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608637,CANASTA DE VIVERES
10440,20165645325,GOBIERNO REGIONAL DE CAJAMARCA - SALUD CAJAMARCA,CAJAMARCA,CAJAMARCA,CAJAMARCA,17/04/20,Servicio,DIRECTA-PROC-1-2020-DIRESAC.-1,608638,Servicio de mantenimiento correctivo de vehAculos (ambulancias) de los establecimientos de Salud de la DirecciA3n Regional de Salud Cajamarca,1,servicio de mantenimiento correctivo de vehA?culos (ambulancias) de los establecimientos de Salud de la DirecciA?n Regional de Salud Cajamarca,Servicio,GOBIERNO REGIONAL,GOBIERNO REGIONAL,ContrataciA3n Directa,CAJAMARCA,CAJAMARCA,CAJAMARCA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,47200.0,47200.0,47200.0,47200.0,Persona Juridica,20600891023,SERVICIO LGL E.I.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608638,OTROS SERVICIOS
174,20166558051,MUNICIPALIDAD PROVINCIAL DE BOLOGNESI - CHIQUIAN,ANCASH,BOLOGNESI,CHIQUIAN,17/04/20,Bien,DIRECTA-PROC-1-2020-MPB-1,608641,ADQUISICIAN DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BASICA FAMILIAR EN EL MARCO DE LA EMERGENCIA NACIONAL POR EL COVID-19 PARA EL DISTRITO DE CHIQUIAN DE LA PROVINCIA DE BOLOGNESI - ANCASH,1,ADQUISICIA?N DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BA?SICA FAMILIAR EN EL MARCO DE LA EMERGENCIA NACIONAL POR EL COVID - 19 PARA EL DISTRITO DE CHIQUIAN DE LA PROVINCIA DE BOLOGNESI - ANCASH,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,ANCASH,BOLOGNESI,CHIQUIAN,Adjudicado,ULTIMO,Soles,SituaciA3n emergencia,49990.0,49990.0,49990.0,49990.0,Persona Natural,10076466560,UGARTE MAURICIO NANCY EDITH,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608641,CANASTA DE VIVERES
1273,20275441857,MUNICIPALIDAD DISTRITAL DE GUADALUPITO,LA LIBERTAD,VIRU,GUADALUPITO,16/04/20,Bien,DIRECTA-PROC-1-2020-MDG-1,608643,CONTRATACIAN DIRECTA NAo 001-2020-MDG/OECADQUISICIAN DE PRODUCTOS DE LA CANASTA BASICA FAMILIAR EN EL MARCO DEL DECRETO DE URGENCIA NAo 033-2020,1,ADQUISICIA?N DE PRODUCTOS DE LA CANASTA BA?SICA FAMILIAR EN EL MARCO DEL DECRETO DE URGENCIA NA? 033-2020,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,LA LIBERTAD,VIRU,GUADALUPITO,Contratado,ULTIMO,Soles,SituaciA3n emergencia,200000.0,200000.0,200000.0,200000.0,Persona Juridica,20532040826,INVERSIONES REFAMA S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608643,CANASTA DE VIVERES
550,20172351175,MUNICIPALIDAD DISTRITAL DE TAMBO - LA MAR,AYACUCHO,LA MAR,TAMBO,14/04/20,Bien,DIRECTA-PROC-3-2020-MDT-LM/CS-1,608644,"ADQUISICION DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BASICA FAMILIAR EN EL MARCO DE LA EMERGENCIA NACIONAL POR EL COVID-19, PARA LA MUNICIPALIDAD DISTRITAL DE TAMBO - LA MAR - AYACUCHOA?",1,"ADQUISICION DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BA?SICA FAMILIAR EN EL MARCO DE LA EMERGENCIA NACIONAL POR EL COVID-19, PARA LA MUNICIPALIDAD DISTRITAL DE TAMBO - LA MAR - AYACUCHOA?",Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,AYACUCHO,LA MAR,TAMBO,Contratado,ULTIMO,Soles,SituaciA3n emergencia,200000.0,200000.0,200000.0,200000.0,Persona Natural,10480061069,CALDERON CORDOVA ENAN GADIEL,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608644,CANASTA DE VIVERES
993,20199856520,MUNICIPALIDAD DISTRITAL DE MARIANO DAMASO BERAUN - LAS PALMAS,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,16/04/20,Bien,DIRECTA-PROC-1-2020-MD-MDB-LP-1,608646,ADQUISICIAN DE ARROZ  PARA LA CANASTA BASICA FAMILIAR DE PRIMERA NECESIDAD DE LA NECESIDAD BASICA FAMILIAR EN MARCO DE EMERGENCIA SANITARIA NACIONAL POR COVID-19,1,ARROZ  PILADO,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,Contratado,ULTIMO,Soles,SituaciA3n emergencia,37720.0,37720.0,37720.0,37720.0,Persona Juridica,20528951466,DISTRIBUIDORA KADMIEL SRL,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608646,CANASTA DE VIVERES
1820,20531195575,MUNICIPALIDAD DISTRITAL DE SHAMBOYACU,SAN MARTIN,PICOTA,SHAMBOYACU,15/04/20,Bien,DIRECTA-PROC-1-2020-MDSH/OEC-1,608649,"ContrataciA3n de Aceite Vegetal, leche evaporada y atun en aceite vegetal para la Canasta BA!sica Familiar para Hogares Vulnerables dentro de la JurisdicciA3n del Distrito de Shamboyacu, Provincia de Picota, San MartAn, en el marco de la emergencia sanitaria por el COVID-19 (DU NAdeg 033-2020).",1,"CONTRATACION DE LECHE EVAPORADA, ATUN Y ACEITE VEGETAL",Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,SAN MARTIN,PICOTA,SHAMBOYACU,Contratado,ULTIMO,Soles,SituaciA3n emergencia,66884.95,66884.95,66884.95,66884.95,Persona Juridica,20531321970,ALMACENES DE LA SELVA S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608649,CANASTA DE VIVERES
831,20170329415,MUNICIPALIDAD DISTRITAL DE YAURISQUE,CUSCO,PARURO,YAURISQUE,16/04/20,Bien,DIRECTA-PROC-1-2020-MDY-1,608653,ADQUISICIAN DE PRODUCTOS DE PRIMERA NECESIDAD,1,PRODUCTOS DE PRIMERA NECESIDAD FRENTE AL COVID-19,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,CUSCO,PARURO,YAURISQUE,Contratado,ULTIMO,Soles,SituaciA3n emergencia,49728.7,49728.7,49728.7,49728.7,Persona Natural,10718707361,QUISPE APAZA ROXANA,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608653,CANASTA DE VIVERES
173,20214747384,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE RONTOY,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,15/04/20,Bien,DIRECTA-PROC-1-2020-MD-1,608654,"ADQUISICION DE BIENES DE PRIMERA NECESIDAD DE LA CANASTA BASICA FAMILIAR, EN EL MARCO DE LA DECLARATORIA DE ESTADO DE EMERGENCIA NACIONAL POR EL COVID -19 PARA LA MUNICIPALIDAD DISTRITAL DE SAN JUAN DE RONTOY, PROVINCIA DE ANTONIO RAIMONDI, DEPARTAMENTO DE ANCASH,EN EL MARCO DE LA DECLARATORIA DE ES",1,"1.	ADQUISICION DE BIENES DE PRIMERA NECESIDAD DE LA CANASTA BASICA FAMILIAR, EN EL MARCO DE LA DECLARATORIA DE ESTADO DE EMERGENCIA NACIONAL POR EL COVID -19 PARA LA MUNICIPALIDAD DISTRITAL DE SAN JUAN DE RONTOY, PROVINCIA DE ANTONIO RAIMONDI DEPARTA",Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,Contratado,ULTIMO,Soles,SituaciA3n emergencia,50000.0,50000.0,50000.0,50000.0,Persona Natural,10099802702,ESPINOZA AYALA DELIA BENANCIA,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608654,CANASTA DE VIVERES
200526,20534768053,GOBIERNO REGIONAL DE AYACUCHO - UNIDAD EJECUTORA RED DE SALUD DE SAN MIGUEL,AYACUCHO,LA MAR,SAN MIGUEL,18/05/20,Bien,DIRECTA-PROC-1-2020-UERSSAMI-1,608660,ADQUISICION DE MATERIALES DE LIMPIEZA,1,ADQUISICIA?N DE MATERIAL DE LIMPIEZA,Unidad,GOBIERNO REGIONAL,GOBIERNO REGIONAL,ContrataciA3n Directa,AYACUCHO,LA MAR,SAN MIGUEL,Contratado,ULTIMO,Soles,SituaciA3n emergencia,44758.5,44758.5,44758.5,44758.5,Persona Juridica,20601786355,IQ APOR E.I.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608660,PROD. ASEO Y LIMPIEZA
954,20168795760,MUNICIPALIDAD DISTRITAL DE MARGOS,HUANUCO,HUANUCO,MARGOS,15/04/20,Bien,DIRECTA-PROC-1-2020-MDM-1,608663,REQUERIMIENTO PARA ADQUISICION DEPRODUCTOS DE PRIMERA NESECIDAD DE LA CANASTA FAMILIAR EN EL MARCO DEL ESTADO DE EMERGENCIA  NACIONAL POR  EL COVID-19 EN EL DISTRITO DE MARGOS-PROVINCIA DEPARTAMENTO DE   HUANUCO,1,REQUERIMIENTO PARA ADQUISICION DEPRODUCTOS DE PRIMERA NESECIDAD DE LA CANASTA FAMILIAR EN EL MARCO DEL ESTADO DE EMERGENCIA  NACIONAL POR  EL COVID-19 EN EL DISTRITO DE MARGOS,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,HUANUCO,HUANUCO,MARGOS,Contratado,ULTIMO,Soles,SituaciA3n emergencia,93993.8,93993.8,93993.8,93993.8,Persona Juridica,20529100486,"null;CONSULTORIA, CONSTRUCCIONES, ESTUDIO Y SERVICIOS EN GENERALnull; EMPRESA INDIVIDUAL DE RESPONSABILIDAD",,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608663,CANASTA DE VIVERES
1789,20193090967,MUNICIPALIDAD DISTRITAL DE POSIC,SAN MARTIN,RIOJA,POSIC,21/04/20,Bien,DIRECTA-PROC-1-2020-MDP-1,608674,"ADQUISICION DE ALIMENTOS DE PRIMERA NECESIDAD PARA LA ELABORACIAN Y ENTREGA DE CANASTA BASICA FAMLIAR A FAVOR DE LA POBLACION DEL DISTRITO DE POSIC, POR EL COVID -19",1,contrataciA?n de ADQUISICIA?N DE ALIMENTOS DE PRIMERA NECESIDAD PARA LA ELABORACIA?N Y ENTREGA DE CANASTA BA?SICA FAMILIAR A FAVOR DE LA POBLACIA?N DEL DISTRITO DE PA?SIC A? PROVINCIA DE RIOJA - DEPARTAMENTO DE SAN MARTIN. DU NA? 033-2020-PCM,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,SAN MARTIN,RIOJA,POSIC,Contratado,ULTIMO,Soles,SituaciA3n emergencia,50000.0,50000.0,50000.0,50000.0,Persona Juridica,20450456927,REPRESENTACIONES Y DISTRIBUCIONES SAAVEDRA S.R.L.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608674,CANASTA DE VIVERES
10530,20408454299,GOBIERNO REGIONAL DE LORETO-SALUD LORETO Y PERIFERICOS,LORETO,MAYNAS,IQUITOS,16/04/20,Bien,DIRECTA-PROC-8-2020-GRL-DRSL/30.01-1,608676,"CONTRATACION DE BIENES ADQUISICION DE EQUIPOS DE ULTRASONIDO IMAGENES ECOGRAFICAS, EN EL MARCO DE LA DECLARATORIA DE EMERGENCIA SANITARIA - COVID 19.",1,ADQUISICION DE EQUIPOS IMAGENES ECOGRAFICAS,Unidad,GOBIERNO REGIONAL,GOBIERNO REGIONAL,ContrataciA3n Directa,LORETO,MAYNAS,IQUITOS,Contratado,ULTIMO,Soles,SituaciA3n emergencia,90300.0,90300.0,90300.0,90300.0,Persona Juridica,20601207193,GLOBAL HEALTHCARE SOLUTIONS PERU SAC,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608676,MATERIAL Y EQUIPO MEDICO
387,20199907451,MUNICIPALIDAD DISTRITAL DE SANTA ROSA - GRAU,APURIMAC,GRAU,SANTA ROSA,15/04/20,Bien,DIRECTA-PROC-1-2020-MDSR-1,608679,"Adquisicion de alimentos de la canasta basica familiar por emergencia del covid 19, para la Municipalidad distrital de Santa Rosa",1,Adquisicion de Productos de Primera Necesidad para la Canasta Basica Familiar para la atenciA?n de la emergencia del COVID 19,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,APURIMAC,GRAU,SANTA ROSA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,49998.0,49998.0,49998.0,49998.0,Persona Juridica,20564081001,REPRESENTACIONES CCASANI EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - REPRESENTACIONES CCASANI,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608679,CANASTA DE VIVERES
202845,20601081530,MUNICIPALIDAD DISTRITAL DE PICHOS,HUANCAVELICA,TAYACAJA,PICHOS,14/05/20,Bien,DIRECTA-PROC-1-2020-OEC/MDP-1,608680,ADQUISICIAN DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BASICA FAMILIAR EN EL MARCO DE LA EMERGENCIA NACIONAL POR EL COVID-19 PARA EL DISTRITO DE PICHOS,1,ADQUISICIA?N DE PRODUCTOS DE PRIMERA NECESIDAD DE LA CANASTA BA?SICA FAMILIAR EN EL MARCO DE LA EMERGENCIA NACIONAL POR EL COVID-19 PARA EL DISTRITO DE PICHOS,Unidad,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,HUANCAVELICA,TAYACAJA,PICHOS,Contratado,ULTIMO,Soles,SituaciA3n emergencia,99939.0,99939.0,99939.0,99939.0,Persona Juridica,20601351481,INVERSIONES Y SERVICIOS ZENTROPOLY S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608680,CANASTA DE VIVERES
200683,20508650451,IAFAS DEL EJERCITO DEL PERU (FOSPEME),LIMA,LIMA,JESUS MARIA,16/04/20,Bien,DIRECTA-PROC-6-2020-IAFAS-EP-1,608687,ADQUISICION DE CAMAS ELECTRICAS ELECTRICAS CON MANDO DE MEMBRANA Y COLCHON HOSPITALARIO DE 4 PULGADAS PARA LA UNIDAD DE CUIDADOS INTENSIVOS POLIVALENTE DEL HMC,1,ADQUISICION DE CAMAS ELECTRICAS ELECTRICAS CON MANDO DE MEMBRANA Y COLCHON HOSPITALARIO DE 4 PULGADAS PARA LA UNIDAD DE CUIDADOS INTENSIVOS POLIVALENTE DEL HMC,Unidad,DEFENSA,GOBIERNO NACIONAL,ContrataciA3n Directa,LIMA,LIMA,JESUS MARIA,Adjudicado,ULTIMO,Soles,SituaciA3n emergencia,339800.0,339800.0,339800.0,339800.0,Persona Juridica,20556816949,FAAL TRADING SOCIEDAD ANONIMA CERRADA - FAAL TRADING S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608687,MATERIAL Y EQUIPO MEDICO
1828,20154547097,MUNICIPALIDAD PROVINCIAL DE EL DORADO VILLA SAN JOSE DE SISA,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,21/04/20,Bien,DIRECTA-PROC-1-2020-MPD/OEC-1,608688,"ADQUISICION DE 17,000 KG. DE ARROZ PILADO SUPERIOR PARA LA CANASTA BASICA FAMILIAR POR LA MUNICIPALIDAD PROVINCIAL DE EL DORADO, EN MARCO LA EMERGENCIA NACIONAL COVID CORRESPONDIENTE AL AAO 2020",1,ARROZ PILADO SUPERIOR,Kilogramo,GOBIERNO LOCAL,GOBIERNO LOCAL,ContrataciA3n Directa,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,Contratado,ULTIMO,Soles,SituaciA3n emergencia,43520.0,43520.0,43520.0,43520.0,Persona Juridica,20604995630,INDUSTRIA GRANOSELVA S.A.C.,,,http://prodapp2.seace.gob.pe/seacebus-uiwd-pub/fichaSeleccion/fichaSeleccion.xhtml?idSistema=3&ongei=1&idConvocatoria=608688,CANASTA DE VIVERES
